34.0555,-117.82539
34.05546,-117.82533
34.05532,-117.82524
34.05518,-117.82518
34.05515,-117.82517
34.05515,-117.82517
34.05511,-117.82518
34.05508,-117.8252
34.05506,-117.82521
34.05504,-117.82523
34.05502,-117.82527
34.055,-117.82531
34.05497,-117.82536
34.05497,-117.82536
34.05499,-117.82536
34.05508,-117.82539
34.05513,-117.82541
34.05519,-117.82544
34.05527,-117.82548
34.05532,-117.82552
34.05539,-117.82558
34.05544,-117.82563
34.05548,-117.82567
34.05551,-117.82571
34.05552,-117.82576
34.05554,-117.82584
34.05554,-117.82584
34.05562,-117.82585
34.05565,-117.82585
34.0557,-117.82584
34.05578,-117.82581
34.05578,-117.82581
34.05589,-117.82597
34.05594,-117.82612
34.05597,-117.82621
34.05607,-117.82662
34.05607,-117.82662
34.05593,-117.82668
34.05583,-117.82672
34.05577,-117.82674
34.05571,-117.82675
34.05564,-117.82677
34.05558,-117.82677
34.0555,-117.82677
34.05545,-117.82676
34.05538,-117.82672
34.05534,-117.82669
34.0553,-117.82665
34.05523,-117.82661
34.05518,-117.82659
34.0551,-117.82655
34.05507,-117.82655
34.05503,-117.82655
34.05498,-117.82656
34.05495,-117.82658
34.05492,-117.82659
34.05489,-117.82662
34.05487,-117.82665
34.05484,-117.8267
34.05479,-117.82681
34.05479,-117.82681
34.05524,-117.82701
34.0557,-117.82721
34.05585,-117.82728
34.05613,-117.82745
34.05622,-117.82745
34.05679,-117.82768
34.05693,-117.82774
34.05704,-117.82779
34.05718,-117.82785
34.05723,-117.82787
34.05732,-117.82789
34.05735,-117.82789
34.0574,-117.82788
34.05741,-117.82787
34.05747,-117.82786
34.05761,-117.82778
34.05768,-117.82771
34.05775,-117.82762
34.05781,-117.82749
34.05789,-117.8273
34.05807,-117.82687
34.05819,-117.82659
34.05838,-117.82623
34.05865,-117.82556
34.05877,-117.82531
34.05905,-117.82463
34.05908,-117.82457
34.05942,-117.82382
34.05944,-117.82379
34.05947,-117.82371
34.05952,-117.82362
34.05969,-117.82325
34.05971,-117.82317
34.05973,-117.82311
34.05991,-117.82272
34.05991,-117.82271
34.05999,-117.8225
34.06006,-117.82234
34.06015,-117.82217
34.06017,-117.82213
34.06019,-117.8221
34.06023,-117.82205
34.0603,-117.82196
